Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta,IsAutoShifting,LastManualShiftTime,SteerDirection,IsStopped
0,1746968335.2612884,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.982,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
1,1746968335.283214,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.962,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
2,1746968335.2992537,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.942,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
3,1746968335.3210814,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.922,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
4,1746968335.3424633,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.902,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
5,1746968335.3645334,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.882,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
6,1746968335.3828812,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.862,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
7,1746968335.4042225,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.842,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
8,1746968335.4202394,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.822,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
9,1746968335.4442759,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.802,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
10,1746968335.4631052,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.782,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
11,1746968335.4820106,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.762,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
12,1746968335.5013013,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.742,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
13,1746968335.5218642,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.722,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
14,1746968335.539634,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.702,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
15,1746968335.565334,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.682,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
16,1746968335.5806334,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.662,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
17,1746968335.6008074,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.642,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
18,1746968335.6198595,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.622,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
19,1746968335.6425993,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.602,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
20,1746968335.6592453,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.582,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
21,1746968335.6808958,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.562,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
22,1746968335.7019587,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.542,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
23,1746968335.7227228,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.522,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
24,1746968335.7417278,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.502,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
25,1746968335.766113,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.482,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
26,1746968335.7822254,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.462,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
27,1746968335.804651,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.442,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
28,1746968335.8224368,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.422,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
29,1746968335.8423555,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.402,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
30,1746968335.8592396,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.382,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
31,1746968335.882571,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.362,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
32,1746968335.899174,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.342,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
33,1746968335.923682,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.322,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
34,1746968335.9409044,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.302,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
35,1746968335.9644573,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.282,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
36,1746968335.9815598,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.262,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
37,1746968335.9995716,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.242,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
38,1746968336.020697,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.222,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
39,1746968336.0452378,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.202,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
40,1746968336.0611527,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.182,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
41,1746968336.0819461,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.162,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
42,1746968336.1012828,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.142,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
43,1746968336.1184652,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.122,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
44,1746968336.1393385,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.102,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
45,1746968336.1616714,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.082,2952.63,0,50,1,1,0.0,0.0,0.0,1,0.0,0,True,1746968310.4010956,,False
