Step,Time,SpeedX,SpeedY,SpeedZ,TrackPos,Angle,RPM,Gear_State,CurLapTime,DistFromStart,DistRaced,Fuel,Damage,RacePos,Accel,Brake,Steer,Gear_Control,Clutch,Meta,IsAutoShifting,LastManualShiftTime,SteerDirection,IsStopped
0,1746969284.0813692,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1047.2,0,-0.982,2952.63,0,50,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
1,1746969284.1040008,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1091.2,0,-0.962,2952.63,0,50,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
2,1746969284.1229331,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1135.2,0,-0.942,2952.63,0,49.9999,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
3,1746969284.1438563,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1179.2,0,-0.922,2952.63,0,49.9999,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
4,1746969284.1623821,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1223.2,0,-0.902,2952.63,0,49.9998,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
5,1746969284.1853328,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1267.2,0,-0.882,2952.63,0,49.9998,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
6,1746969284.2029216,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1311.2,0,-0.862,2952.63,0,49.9998,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
7,1746969284.2225206,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1355.2,0,-0.842,2952.63,0,49.9997,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
8,1746969284.2443166,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1399.2,0,-0.822,2952.63,0,49.9997,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
9,1746969284.2629843,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1443.2,0,-0.802,2952.63,0,49.9997,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
10,1746969284.2853827,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1487.2,0,-0.782,2952.63,0,49.9996,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
11,1746969284.3014016,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1531.2,0,-0.762,2952.63,0,49.9996,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
12,1746969284.3243084,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1575.2,0,-0.742,2952.63,0,49.9995,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
13,1746969284.3436182,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1619.76,0,-0.722,2952.63,0,49.9995,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
14,1746969284.3613205,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1665.35,0,-0.702,2952.63,0,49.9995,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
15,1746969284.381712,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1712,0,-0.682,2952.63,0,49.9994,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
16,1746969284.4040546,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1759.72,0,-0.662,2952.63,0,49.9994,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
17,1746969284.421304,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1808.55,0,-0.642,2952.63,0,49.9994,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
18,1746969284.444836,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1858.52,0,-0.622,2952.63,0,49.9993,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
19,1746969284.4639683,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1909.63,0,-0.602,2952.63,0,49.9993,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
20,1746969284.4857924,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,1961.94,0,-0.582,2952.63,0,49.9992,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
21,1746969284.5014684,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2015.45,0,-0.562,2952.63,0,49.9992,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
22,1746969284.523948,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2070.2,0,-0.542,2952.63,0,49.9991,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
23,1746969284.5436406,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2126.21,0,-0.522,2952.63,0,49.999,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
24,1746969284.5652094,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2183.39,0,-0.502,2952.63,0,49.9989,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
25,1746969284.5817668,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2241.77,0,-0.482,2952.63,0,49.9989,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
26,1746969284.6050503,0.0921063,0.126593,-0.0916573,0.343006,0.0121934,2301.36,0,-0.462,2952.63,0,49.9988,1,1,1.0,0.0,0.0,1,0.0,0,True,1746969281.939681,,True
